Year,Ceremony,Award,Winner,Name,Film
1934,7,Actor,1,Clark Gable,It Happened One Night
1934,7,Actor,0,Frank Morgan,The Affairs of Cellini
1934,7,Actor,0,William Powell,The Thin Man
1934,7,Actress,1,Claudette Colbert,It Happened One Night
1934,7,Actress,0,Bette Davis,Of Human Bondage
1934,7,Actress,0,Grace Moore,One Night of Love
1934,7,Actress,0,Norma Shearer,The Barretts of Wimpole Street
1934,7,Art Direction,0,The Affairs of Cellini ,Richard Day [Third]
1934,7,Art Direction,0,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
1934,7,Art Direction,1,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934,7,Assistant Director,0,Cleopatra ,Cullen Tate [Second]
1934,7,Assistant Director,0,Imitation of Life ,Scott Beal [Third]
1934,7,Assistant Director,1,Viva Villa! ,John Waters
1934,7,Cinematography,0,The Affairs of Cellini ,Charles Rosher [Third]
1934,7,Cinematography,1,Cleopatra ,Victor Milner
1934,7,Cinematography,0,Operator 13 ,George Folsey [Second]
1934,7,Directing,1,It Happened One Night ,Frank Capra
1934,7,Directing,0,One Night of Love ,Victor Schertzinger [Third]
1934,7,Directing,0,The Thin Man ,W. S. Van Dyke [Second]
1934,7,Film Editing,0,Cleopatra ,Anne Bauchens [Third]
1934,7,Film Editing,1,Eskimo ,Conrad Nervig
1934,7,Film Editing,0,One Night of Love ,Gene Milford [Second]
1934,7,Music (Scoring),0,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
1934,7,Music (Scoring),0,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
1934,7,Music (Scoring),1,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,7,Music (Song),0,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
1934,7,Music (Song),1,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934,7,Music (Song),0,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
1934,7,Outstanding Production,0,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
1934,7,Outstanding Production,0,Cleopatra ,Paramount
1934,7,Outstanding Production,0,Flirtation Walk ,First National
1934,7,Outstanding Production,0,The Gay Divorcee ,RKO Radio
1934,7,Outstanding Production,0,Here Comes the Navy ,Warner Brothers
1934,7,Outstanding Production,0,The House of Rothschild ,20th Century [Third]
1934,7,Outstanding Production,0,Imitation of Life ,Universal
1934,7,Outstanding Production,1,It Happened One Night ,Columbia
1934,7,Outstanding Production,0,One Night of Love ,Columbia
1934,7,Outstanding Production,0,The Thin Man ,Metro-Goldwyn-Mayer
1934,7,Outstanding Production,0,Viva Villa! ,Metro-Goldwyn-Mayer
1934,7,Outstanding Production,0,The White Parade ,Jesse L. Lasky (production company)
1934,7,Short Subject (Cartoon),0,Holiday Land ,"Charles Mintz, Producer [Third]"
1934,7,Short Subject (Cartoon),0,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
1934,7,Short Subject (Cartoon),1,The Tortoise and the Hare ,"Walt Disney, Producer"
1934,7,Short Subject (Comedy),1,La Cucaracha ,"Kenneth Macgowan, Producer"
1934,7,Short Subject (Comedy),0,Men in Black ,"Jules White, Producer [Third]"
1934,7,Short Subject (Comedy),0,"What, No Men! ",Warner Brothers [Second]
1934,7,Short Subject (Novelty),0,Bosom Friends ,Skibo Productions [Third]
1934,7,Short Subject (Novelty),1,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
1934,7,Short Subject (Novelty),0,Strikes and Spares ,"Pete Smith, Producer [Second]"
1934,7,Sound Recording,0,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1934,7,Sound Recording,0,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,7,Sound Recording,0,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1934,7,Sound Recording,0,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
1934,7,Sound Recording,0,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1934,7,Sound Recording,1,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,7,Sound Recording,0,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1934,7,Sound Recording,0,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
1934,7,Writing (Adaptation),1,It Happened One Night ,Robert Riskin
1934,7,Writing (Adaptation),0,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
1934,7,Writing (Adaptation),0,Viva Villa! ,Ben Hecht [Third]
1934,7,Writing (Original Story),0,Hide-Out ,Mauri Grashin [Third]
1934,7,Writing (Original Story),1,Manhattan Melodrama ,Arthur Caesar
1934,7,Writing (Original Story),0,The Richest Girl in the World ,Norman Krasna [Second]
1934,7,Special Award,1,Shirley Temple,
1935,8,Actor,0,Clark Gable,Mutiny on the Bounty
1935,8,Actor,0,Charles Laughton,Mutiny on the Bounty
1935,8,Actor,1,Victor McLaglen,The Informer
1935,8,Actor,0,Paul Muni,Black Fury
1935,8,Actor,0,Franchot Tone,Mutiny on the Bounty
1935,8,Actress,0,Elisabeth Bergner,Escape Me Never
1935,8,Actress,0,Claudette Colbert,Private Worlds
1935,8,Actress,1,Bette Davis,Dangerous
1935,8,Actress,0,Katharine Hepburn,Alice Adams
1935,8,Actress,0,Miriam Hopkins,Becky Sharp
1935,8,Actress,0,Merle Oberon,The Dark Angel
1935,8,Art Direction,1,The Dark Angel ,Richard Day
1935,8,Art Direction,0,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
1935,8,Art Direction,0,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
1935,8,Assistant Director,0,David Copperfield ,Joseph Newman [Third]
1935,8,Assistant Director,0,Les Miserables ,Eric Stacey
1935,8,Assistant Director,1,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
1935,8,Assistant Director,0,A Midsummer Night's Dream ,Sherry Shourds [Second]
1935,8,Cinematography,0,Barbary Coast ,Ray June
1935,8,Cinematography,0,The Crusades ,Victor Milner [Third]
1935,8,Cinematography,0,Les Miserables ,Gregg Toland [Second]
1935,8,Cinematography,1,A Midsummer Night's Dream ,Hal Mohr
1935,8,Dance Direction,0,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
1935,8,Dance Direction,0,Bobby Connolly,Latin from Manhattan number from Go into Your Dance
1935,8,Dance Direction,0,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
1935,8,Dance Direction,1,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
1935,8,Dance Direction,0,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
1935,8,Dance Direction,0,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
1935,8,Dance Direction,0,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
1935,8,Dance Direction,0,Benjamin Zemach,Hall of Kings number from She
1935,8,Directing,0,Captain Blood ,Michael Curtiz [Second]
1935,8,Directing,1,The Informer ,John Ford
1935,8,Directing,0,The Lives of a Bengal Lancer ,Henry Hathaway [Third]
1935,8,Directing,0,Mutiny on the Bounty ,Frank Lloyd
1935,8,Film Editing,0,David Copperfield ,Robert J. Kern
1935,8,Film Editing,0,The Informer ,George Hively [Third]
1935,8,Film Editing,0,Les Miserables ,Barbara McLean
1935,8,Film Editing,0,The Lives of a Bengal Lancer ,Ellsworth Hoagland
1935,8,Film Editing,1,A Midsummer Night's Dream ,Ralph Dawson
1935,8,Film Editing,0,Mutiny on the Bounty ,Margaret Booth [Second]
1935,8,Music (Scoring),0,Captain Blood ,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]"
1935,8,Music (Scoring),1,The Informer ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,8,Music (Scoring),0,Mutiny on the Bounty ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]"
1935,8,Music (Scoring),0,Peter Ibbetson ,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)"
1935,8,Music (Song),0,"""Cheek To Cheek"" from Top Hat",Music and Lyrics by Irving Berlin [Second]
1935,8,Music (Song),0,"""Lovely To Look At"" from Roberta",Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
1935,8,Music (Song),1,"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin
1935,8,Outstanding Production,0,Alice Adams ,RKO Radio
1935,8,Outstanding Production,0,Broadway Melody of 1936 ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,0,Captain Blood ,Cosmopolitan [Third]
1935,8,Outstanding Production,0,David Copperfield ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,0,The Informer ,RKO Radio [Second]
1935,8,Outstanding Production,0,Les Miserables ,20th Century
1935,8,Outstanding Production,0,The Lives of a Bengal Lancer ,Paramount
1935,8,Outstanding Production,0,A Midsummer Night's Dream ,Warner Brothers
1935,8,Outstanding Production,1,Mutiny on the Bounty ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,0,Naughty Marietta ,Metro-Goldwyn-Mayer
1935,8,Outstanding Production,0,Ruggles of Red Gap ,Paramount
1935,8,Outstanding Production,0,Top Hat ,RKO Radio
1935,8,Short Subject (Cartoon),0,The Calico Dragon ,Harman-Ising [Third]
1935,8,Short Subject (Cartoon),1,Three Orphan Kittens ,"Walt Disney, Producer"
1935,8,Short Subject (Cartoon),0,Who Killed Cock Robin? ,"Walt Disney, Producer [Second]"
1935,8,Short Subject (Comedy),1,How to Sleep ,"Jack Chertok, Producer"
1935,8,Short Subject (Comedy),0,"Oh, My Nerves ","Jules White, Producer [Second]"
1935,8,Short Subject (Comedy),0,Tit for Tat ,"Hal Roach, Producer [Third]"
1935,8,Short Subject (Novelty),0,Audioscopiks ,"Pete Smith, Producer [tied for 2nd]"
1935,8,Short Subject (Novelty),0,Camera Thrills ,Universal [tied for 2nd]
1935,8,Short Subject (Novelty),1,Wings over Mt. Everest ,Gaumont British and Skibo Productions
1935,8,Sound Recording,0,Bride of Frankenstein ,"Universal Studio Sound Department, Gilbert Kurland, Sound Director"
1935,8,Sound Recording,0,Captain Blood ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1935,8,Sound Recording,0,The Dark Angel ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1935,8,Sound Recording,0,I Dream Too Much ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
1935,8,Sound Recording,0,The Lives of a Bengal Lancer ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]"
1935,8,Sound Recording,0,Love Me Forever ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1935,8,Sound Recording,1,Naughty Marietta ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,8,Sound Recording,0,"$1,000 a Minute ",Republic Studio Sound Department
1935,8,Sound Recording,0,Thanks a Million ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1935,8,Writing (Original Story),0,Broadway Melody of 1936 ,Moss Hart [Third]
1935,8,Writing (Original Story),0,G-Men ,Gregory Rogers [Second]
1935,8,Writing (Original Story),0,The Gay Deception ,"Don Hartman, Stephen Avery"
1935,8,Writing (Original Story),1,The Scoundrel ,"Ben Hecht, Charles MacArthur"
1935,8,Writing (Screenplay),0,Captain Blood ,Casey Robinson [Third]
1935,8,Writing (Screenplay),1,The Informer ,Dudley Nichols
1935,8,Writing (Screenplay),0,The Lives of a Bengal Lancer ,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt"
1935,8,Writing (Screenplay),0,Mutiny on the Bounty ,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]"
1935,8,Special Award,1,David Wark Griffith,
1936,9,Actor,0,Gary Cooper,Mr. Deeds Goes to Town
1936,9,Actor,0,Walter Huston,Dodsworth
1936,9,Actor,1,Paul Muni,The Story of Louis Pasteur
1936,9,Actor,0,William Powell,My Man Godfrey
1936,9,Actor,0,Spencer Tracy,San Francisco
1936,9,Actor in a Supporting Role,0,Mischa Auer,My Man Godfrey
1936,9,Actor in a Supporting Role,1,Walter Brennan,Come and Get It
1936,9,Actor in a Supporting Role,0,Stuart Erwin,Pigskin Parade
1936,9,Actor in a Supporting Role,0,Basil Rathbone,Romeo and Juliet
1936,9,Actor in a Supporting Role,0,Akim Tamiroff,The General Died at Dawn
1936,9,Actress,0,Irene Dunne,Theodora Goes Wild
1936,9,Actress,0,Gladys George,Valiant Is the Word for Carrie
1936,9,Actress,0,Carole Lombard,My Man Godfrey
1936,9,Actress,1,Luise Rainer,The Great Ziegfeld
1936,9,Actress,0,Norma Shearer,Romeo and Juliet
1936,9,Actress in a Supporting Role,0,Beulah Bondi,The Gorgeous Hussy
1936,9,Actress in a Supporting Role,0,Alice Brady,My Man Godfrey
1936,9,Actress in a Supporting Role,0,Bonita Granville,These Three
1936,9,Actress in a Supporting Role,0,Maria Ouspenskaya,Dodsworth
1936,9,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse
1936,9,Art Direction,0,Anthony Adverse ,Anton Grot
1936,9,Art Direction,1,Dodsworth ,Richard Day
1936,9,Art Direction,0,The Great Ziegfeld ,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis"
1936,9,Art Direction,0,Lloyds of London ,William S. Darling
1936,9,Art Direction,0,The Magnificent Brute ,"Albert S. D'Agostino, Jack Otterson"
1936,9,Art Direction,0,Romeo and Juliet ,"Cedric Gibbons, Fredric Hope, Edwin B. Willis"
1936,9,Art Direction,0,Winterset ,Perry Ferguson
1936,9,Assistant Director,0,Anthony Adverse ,William Cannon
1936,9,Assistant Director,1,The Charge of the Light Brigade ,Jack Sullivan
1936,9,Assistant Director,0,The Garden of Allah ,Eric G. Stacey
1936,9,Assistant Director,0,The Last of the Mohicans ,Clem Beauchamp
1936,9,Assistant Director,0,San Francisco ,Joseph Newman
1936,9,Cinematography,1,Anthony Adverse ,Gaetano Gaudio
1936,9,Cinematography,0,The General Died at Dawn ,Victor Milner
1936,9,Cinematography,0,The Gorgeous Hussy ,George Folsey
1936,9,Dance Direction,0,Busby Berkeley,Love and War number from Gold Diggers of 1937
1936,9,Dance Direction,0,Bobby Connolly,1000 Love Songs number from Cain and Mabel
1936,9,Dance Direction,1,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
1936,9,Dance Direction,0,Dave Gould,Swingin' the Jinx number from Born to Dance
1936,9,Dance Direction,0,Jack Haskell,Skating Ensemble number from One in a Million
1936,9,Dance Direction,0,Russell Lewis,The Finale number from Dancing Pirate
1936,9,Dance Direction,0,Hermes Pan,Bojangles of Harlem number from Swing Time
1936,9,Directing,0,Dodsworth ,William Wyler
1936,9,Directing,0,The Great Ziegfeld ,Robert Z. Leonard
1936,9,Directing,1,Mr. Deeds Goes to Town ,Frank Capra
1936,9,Directing,0,My Man Godfrey ,Gregory La Cava
1936,9,Directing,0,San Francisco ,W. S. Van Dyke
1936,9,Film Editing,1,Anthony Adverse ,Ralph Dawson
1936,9,Film Editing,0,Come and Get It ,Edward Curtiss
1936,9,Film Editing,0,The Great Ziegfeld ,William S. Gray
1936,9,Film Editing,0,Lloyds of London ,Barbara McLean
1936,9,Film Editing,0,A Tale of Two Cities ,Conrad A. Nervig
1936,9,Film Editing,0,Theodora Goes Wild ,Otto Meyer
1936,9,Music (Scoring),1,Anthony Adverse ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,9,Music (Scoring),0,The Charge of the Light Brigade ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1936,9,Music (Scoring),0,The Garden of Allah ,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1936,9,Music (Scoring),0,The General Died at Dawn ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)"
1936,9,Music (Scoring),0,Winterset ,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)"
1936,9,Music (Song),0,"""Did I Remember"" from Suzy",Music by Walter Donaldson; Lyrics by Harold Adamson
1936,9,Music (Song),0,"""I've Got You Under My Skin"" from Born to Dance",Music and Lyrics by Cole Porter
1936,9,Music (Song),0,"""A Melody From The Sky"" from Trail of the Lonesome Pine",Music by Louis Alter; Lyrics by Sidney Mitchell
1936,9,Music (Song),0,"""Pennies From Heaven"" from Pennies from Heaven",Music by Arthur Johnston; Lyrics by Johnny Burke
1936,9,Music (Song),1,"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields
1936,9,Music (Song),0,"""When Did You Leave Heaven"" from Sing, Baby, Sing",Music by Richard A. Whiting; Lyrics by Walter Bullock
1936,9,Outstanding Production,0,Anthony Adverse ,Warner Brothers
1936,9,Outstanding Production,0,Dodsworth ,Samuel Goldwyn Productions
1936,9,Outstanding Production,1,The Great Ziegfeld ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,0,Libeled Lady ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,0,Mr. Deeds Goes to Town ,Columbia
1936,9,Outstanding Production,0,Romeo and Juliet ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,0,San Francisco ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,0,The Story of Louis Pasteur ,Cosmopolitan
1936,9,Outstanding Production,0,A Tale of Two Cities ,Metro-Goldwyn-Mayer
1936,9,Outstanding Production,0,Three Smart Girls ,Universal
1936,9,Short Subject (Cartoon),1,The Country Cousin ,"Walt Disney, Producer"
1936,9,Short Subject (Cartoon),0,Old Mill Pond ,Harman-Ising
1936,9,Short Subject (Cartoon),0,Sinbad the Sailor ,Paramount
1936,9,Short Subject (Color),1,Give Me Liberty ,Warner Brothers
1936,9,Short Subject (Color),0,La Fiesta de Santa Barbara ,"Lewis Lewyn, Producer"
1936,9,Short Subject (Color),0,Popular Science J-6-2 ,Paramount
1936,9,Short Subject (One Reel),1,Bored of Education ,"Hal Roach, Producer"
1936,9,Short Subject (One Reel),0,Moscow Moods ,Paramount
1936,9,Short Subject (One Reel),0,"Wanted, a Master ","Pete Smith, Producer"
1936,9,Short Subject (Two Reel),0,Double or Nothing ,Warner Brothers
1936,9,Short Subject (Two Reel),0,Dummy Ache ,RKO Radio
1936,9,Short Subject (Two Reel),1,The Public Pays ,Metro-Goldwyn-Mayer
1936,9,Sound Recording,0,Banjo on My Knee ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1936,9,Sound Recording,0,The Charge of the Light Brigade ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1936,9,Sound Recording,0,Dodsworth ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1936,9,Sound Recording,0,General Spanky ,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1936,9,Sound Recording,0,Mr. Deeds Goes to Town ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1936,9,Sound Recording,1,San Francisco ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1936,9,Sound Recording,0,The Texas Rangers ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1936,9,Sound Recording,0,That Girl from Paris ,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director"
1936,9,Sound Recording,0,Three Smart Girls ,"Universal Studio Sound Department, Homer G. Tasker, Sound Director"
1936,9,Writing (Original Story),0,Fury ,Norman Krasna
1936,9,Writing (Original Story),0,The Great Ziegfeld ,William Anthony McGuire
1936,9,Writing (Original Story),0,San Francisco ,Robert Hopkins
1936,9,Writing (Original Story),1,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
1936,9,Writing (Original Story),0,Three Smart Girls ,Adele Comandini
1936,9,Writing (Screenplay),0,After the Thin Man ,"Frances Goodrich, Albert Hackett"
1936,9,Writing (Screenplay),0,Dodsworth ,Sidney Howard
1936,9,Writing (Screenplay),0,Mr. Deeds Goes to Town ,Robert Riskin
1936,9,Writing (Screenplay),0,My Man Godfrey ,"Eric Hatch, Morris Ryskind"
1936,9,Writing (Screenplay),1,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
1936,9,Special Award,1,The March of Time,
1936,9,Special Award,1,W. Howard Greene and Harold Rosson,The Garden of Allah
1937,10,Actor,0,Charles Boyer,Conquest
1937,10,Actor,0,Fredric March,A Star Is Born
1937,10,Actor,0,Robert Montgomery,Night Must Fall
1937,10,Actor,0,Paul Muni,The Life of Emile Zola
1937,10,Actor,1,Spencer Tracy,Captains Courageous
1937,10,Actor in a Supporting Role,0,Ralph Bellamy,The Awful Truth
1937,10,Actor in a Supporting Role,0,Thomas Mitchell,The Hurricane
1937,10,Actor in a Supporting Role,1,Joseph Schildkraut,The Life of Emile Zola
1937,10,Actor in a Supporting Role,0,H. B. Warner,Lost Horizon
1937,10,Actor in a Supporting Role,0,Roland Young,Topper
1937,10,Actress,0,Irene Dunne,The Awful Truth
1937,10,Actress,0,Greta Garbo,Camille
1937,10,Actress,0,Janet Gaynor,A Star Is Born
1937,10,Actress,1,Luise Rainer,The Good Earth
1937,10,Actress,0,Barbara Stanwyck,Stella Dallas
1937,10,Actress in a Supporting Role,1,Alice Brady,In Old Chicago
1937,10,Actress in a Supporting Role,0,Andrea Leeds,Stage Door
1937,10,Actress in a Supporting Role,0,Anne Shirley,Stella Dallas
1937,10,Actress in a Supporting Role,0,Claire Trevor,Dead End
1937,10,Actress in a Supporting Role,0,Dame May Whitty,Night Must Fall
1937,10,Art Direction,0,Conquest ,"Cedric Gibbons, William Horning"
1937,10,Art Direction,0,A Damsel in Distress ,Carroll Clark
1937,10,Art Direction,0,Dead End ,Richard Day
1937,10,Art Direction,0,Every Day's a Holiday ,Wiard Ihnen
1937,10,Art Direction,0,The Life of Emile Zola ,Anton Grot
1937,10,Art Direction,1,Lost Horizon ,Stephen Goosson
1937,10,Art Direction,0,Manhattan Merry-Go-Round ,John Victor Mackay
1937,10,Art Direction,0,The Prisoner of Zenda ,Lyle Wheeler
1937,10,Art Direction,0,Souls at Sea ,"Hans Dreier, Roland Anderson"
1937,10,Art Direction,0,Walter Wanger's Vogues of 1938 ,Alexander Toluboff
1937,10,Art Direction,0,Wee Willie Winkie ,"William S. Darling, David Hall"
1937,10,Art Direction,0,You're a Sweetheart ,Jack Otterson
1937,10,Assistant Director,1,In Old Chicago ,Robert Webb
1937,10,Assistant Director,0,The Life of Emile Zola ,Russ Saunders
1937,10,Assistant Director,0,Lost Horizon ,"C. C. Coleman, Jr."
1937,10,Assistant Director,0,Souls at Sea ,Hal Walker
1937,10,Assistant Director,0,A Star Is Born ,Eric Stacey
1937,10,Cinematography,0,Dead End ,Gregg Toland
1937,10,Cinematography,1,The Good Earth ,Karl Freund
1937,10,Cinematography,0,Wings over Honolulu ,Joseph Valentine
1937,10,Dance Direction,0,Busby Berkeley,The Finale number from Varsity Show
1937,10,Dance Direction,0,Bobby Connolly,"Too Marvelous for Words number from Ready, Willing and Able"
1937,10,Dance Direction,0,Dave Gould,All God's Children Got Rhythm number from A Day at the Races
1937,10,Dance Direction,0,Sammy Lee,Swing Is Here to Stay number from Ali Baba Goes to Town
1937,10,Dance Direction,0,Harry Losee,Prince Igor Suite number from Thin Ice
1937,10,Dance Direction,1,Hermes Pan,Fun House number from A Damsel in Distress
1937,10,Dance Direction,0,LeRoy Prinz,Luau number from Waikiki Wedding
1937,10,Directing,1,The Awful Truth ,Leo McCarey
1937,10,Directing,0,The Good Earth ,Sidney Franklin
1937,10,Directing,0,The Life of Emile Zola ,William Dieterle
1937,10,Directing,0,Stage Door ,Gregory La Cava
1937,10,Directing,0,A Star Is Born ,William Wellman
1937,10,Film Editing,0,The Awful Truth ,Al Clark
1937,10,Film Editing,0,Captains Courageous ,Elmo Veron
1937,10,Film Editing,0,The Good Earth ,Basil Wrangell
1937,10,Film Editing,1,Lost Horizon ,"Gene Havlick, Gene Milford"
1937,10,Film Editing,0,One Hundred Men and a Girl ,Bernard W. Burton
1937,10,Music (Scoring),0,The Hurricane ,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)"
1937,10,Music (Scoring),0,In Old Chicago ,"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)"
1937,10,Music (Scoring),0,The Life of Emile Zola ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1937,10,Music (Scoring),0,Lost Horizon ,"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)"
1937,10,Music (Scoring),0,Make a Wish ,"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)"
1937,10,Music (Scoring),0,Maytime ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)"
1937,10,Music (Scoring),1,One Hundred Men and a Girl ,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
1937,10,Music (Scoring),0,Portia on Trial ,"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)"
1937,10,Music (Scoring),0,The Prisoner of Zenda ,"Selznick International Pictures Music Department, Alfred Newman, musical director  (Score by Alfred Newman)"
1937,10,Music (Scoring),0,Quality Street ,"RKO Radio Studio Music Department, Roy Webb, musical director  (Score by Roy Webb)"
1937,10,Music (Scoring),0,Snow White and the Seven Dwarfs ,"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)"
1937,10,Music (Scoring),0,Something to Sing About ,"Grand National Studio Music Department, C. Bakaleinikoff, musical director  (Score by Victor Schertzinger)"
1937,10,Music (Scoring),0,Souls at Sea ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by W. Franke Harling and Milan Roder)"
1937,10,Music (Scoring),0,Way Out West ,"Hal Roach Studio Music Department, Marvin Hatley, head of department  (Score by Marvin Hatley)"
1937,10,Music (Song),0,"""Remember Me"" from Mr. Dodd Takes the Air",Music by Harry Warren; Lyrics by Al Dubin
1937,10,Music (Song),1,"""Sweet Leilani"" from Waikiki Wedding",Music and Lyrics by Harry Owens
1937,10,Music (Song),0,"""That Old Feeling"" from Walter Wanger's Vogues of 1938",Music by Sammy Fain; Lyrics by Lew Brown
1937,10,Music (Song),0,"""They Can't Take That Away From Me"" from Shall We Dance",Music by George Gershwin; Lyrics by Ira Gershwin
1937,10,Music (Song),0,"""Whispers In The Dark"" from Artists and Models",Music by Frederick Hollander; Lyrics by Leo Robin
1937,10,Outstanding Production,0,The Awful Truth ,Columbia
1937,10,Outstanding Production,0,Captains Courageous ,Metro-Goldwyn-Mayer
1937,10,Outstanding Production,0,Dead End ,Samuel Goldwyn Productions
1937,10,Outstanding Production,0,The Good Earth ,Metro-Goldwyn-Mayer
